Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 2
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
minuto  	minute  	 0.83	 0.83	 0.83	 0.83	 0.75	 0.75	 0.79	 0.71	
inteligencia	intelligence	 0.42	 0.42	 0.42	 0.25	 0.69	 0.74	 0.78	 0.84	
identificacao	identification	 0.85	 0.69	 0.69	 0.31	 0.80	 0.85	 0.71	 0.97	
magico  	magic   	 0.83	 0.83	 0.83	 0.50	 0.75	 0.75	 0.79	 0.71	
licao   	lesson  	 0.40	 0.20	 0.20	 0.20	 0.43	 0.00	 0.00	 0.25	
mate    	mate    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
inspecao	inspection	 0.75	 0.75	 0.75	 0.50	 0.77	 0.72	 0.71	 0.80	
limao   	lemon   	 0.40	 0.40	 0.20	 0.40	 0.53	 0.22	 0.19	 0.28	
horror  	horror  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.55	 1.00	
invasao 	invasion	 0.86	 0.86	 0.43	 0.57	 0.78	 0.85	 0.63	 0.95	
mapa    	map     	 0.75	 0.75	 0.75	 0.50	 0.67	 0.60	 0.44	 0.87	
mania   	mania   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.94	 1.00	
manual  	manual  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.96	 1.00	
