Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 2
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
independence	independencia	 0.92	 0.75	 0.75	 0.42	 0.86	 0.95	 0.74	 0.93	
metal   	metal   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
ideal   	ideal   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
motor   	motor   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
minute  	minuto  	 0.83	 0.83	 0.83	 0.83	 0.75	 0.75	 0.79	 0.71	
intelligence	inteligencia	 0.42	 0.42	 0.42	 0.25	 0.69	 0.87	 0.82	 0.92	
identification	identificacao	 0.79	 0.64	 0.64	 0.29	 0.75	 0.72	 0.70	 0.89	
magic   	magico  	 1.00	 1.00	 1.00	 0.60	 0.86	 1.00	 1.00	 1.00	
lesson  	licao   	 0.33	 0.17	 0.17	 0.17	 0.38	 0.00	 0.00	 0.10	
mate    	mate    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
inspection	inspecao	 0.60	 0.60	 0.60	 0.40	 0.64	 0.57	 0.57	 0.68	
lemon   	limao   	 0.40	 0.40	 0.20	 0.40	 0.53	 0.22	 0.19	 0.28	
horror  	horror  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.55	 1.00	
invasion	invasao 	 0.75	 0.75	 0.38	 0.50	 0.70	 0.65	 0.65	 0.77	
map     	mapa    	 1.00	 1.00	 1.00	 0.67	 0.80	 1.00	 1.05	 1.00	
mania   	mania   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.94	 1.00	
manual  	manual  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.96	 1.00	
